1T,2T,3T,4T,5T,predicted,6Real
0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,2.0,0.0,2.0,2.0
1.0,2.0,2.0,2.0,1.0,2.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,4.0,3.0,4.0,5.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2.0,3.0,4.0
1.0,1.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0,1.0,2.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,1.0,4.0,3.0,5.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0,3.0,2.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,4.0,0.0,3.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,4.0,1.0,3.0,3.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,3.0,2.0,3.0,6.0
1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,R^2 is 0.6881870756406574
